Record ID,Action #,Created By ID,Created Date,Currency ISO Code,Deleted,Formula,Last Modified By ID,Last Modified Date,Order,ParentRuleIsActive,Rule Lookup Object,RuleTargetsCalculator,Source Field,Source Lookup Field,System Modstamp,Target Field,Target Object,Value,SBQQ__Rule__r.Price Rule Name,SBQQ__SourceVariable__r.Variable Name
"a1N0J00000PD1c7UAD","162","0050J000006WjRgQAK","02/27/2017T09:05:58.000Z","USD","false","IF(SBQQ__ProrateMultiplier__c = null, 1, SBQQ__ProrateMultiplier__c)","0050J000006WjRgQAK","02/27/2017T09:05:58.000Z","","false","","true","","","02/28/2017T02:32:52.000Z","Prorate_Multiplier_Insert__c","Quote Line","","Insert Prorate Multiplier New",""
"a1N0J00000PD1iQUAT","163","0050J000006WjRgQAK","02/27/2017T09:24:55.000Z","USD","false","CASE(SBQQ__SegmentIndex__c,
1,  SBQQ__Quote__r.Segment_1_End_Date__c , 
2,  SBQQ__Quote__r.Segment_2_End_Date__c,
3, SBQQ__Quote__r.Segment_3_End_Date__c,
null)","0050J000006WjRgQAK","02/27/2017T09:24:55.000Z","","true","","true","","","02/28/2017T02:32:52.000Z","SBQQ__EndDate__c","Quote Line","","Amendment: Populate Segment Dates",""
"a1N0J00000PD73wUAD","166","0050J000006WjRgQAK","02/28/2017T09:32:26.000Z","USD","false","IF(Seats__c = true && SBQQ__Quantity__c != 0 , 
IF(ISPICKVAL(SBQQ__Quote__r.Allow_Seat_Reduction__c,""Yes""),0.0, 
IF(SBQQ__Quote__r.Master_Contract_Term__c  / 12 <1,0.0, 
IF(SBQQ__Quote__r.Master_Contract_Term__c / 12 =1,0.0, 
IF(SBQQ__Quote__r.Master_Contract_Term__c  / 12 =2,0.05, 
IF(SBQQ__Quote__r.Master_Contract_Term__c  / 12 >=3,0.1, 
0.1 
) 
) 
) 
) 
), 
0 
)","0050J000006WjRgQAK","02/28/2017T09:32:26.000Z","","false","","true","","","03/01/2017T02:33:52.000Z","Commitment_Discount_Percent__c","Quote Line","","Populate Commitment Discount % Amendment Quote",""
"a1N2000000NKtpAEAT","19","00520000002CI2kAAG","10/26/2016T18:45:55.000Z","USD","false","","00520000002CI2kAAG","10/26/2016T18:45:55.000Z","","true","","true","","","10/27/2016T16:52:45.000Z","Other_Discount__c","Quote Line","0","No Discount on Source Code",""
"a1N0J00000PCjDAUA1","137","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","Final_Unit_Price_Number__c / Prorate_Multiplier_Copy__c","0050J000006WjRgQAK","02/27/2017T09:50:14.000Z","3.0","true","","true","","","03/01/2017T02:33:52.000Z","SBQQ__SpecialPrice__c","Quote Line","","Insert Final Unit Price into Special Price and Net Price",""
"a1N0J00000PCjDBUA1","138","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","3.0","true","","true","","","02/21/2017T09:35:53.000Z","SBQQ__SpecialPriceType__c","Quote Line","Custom","Insert Final Unit Price into Special Price and Net Price",""
"a1N0J00000PCjDCUA1","139","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/27/2017T09:04:03.000Z","","false","","true","","","02/28/2017T02:32:52.000Z","Prorate_Multiplier_Insert__c","Quote Line","1","Insert Prorate Multiplier",""
"a1N0J00000PCjDDUA1","140","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/27/2017T09:55:39.000Z","1.0","true","","true","Final_Unit_Price__c","","03/01/2017T02:33:52.000Z","Final_Unit_Price_Number__c","Quote Line","","Insert Final Unit Price into Special Price and Net Price",""
"a1N0J00000PCjDEUA1","141","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","SBQQ__EffectiveQuantity__c
/**CASE(SBQQ__ProductCode__c, 
'SKU100303', IF(TEXT(SBQQ__Quote__r.SBQQ__Type__c) = 'Amendment', (SBQQ__Quantity__c - SBQQ__Quote__r.Contract_Seats__c ) ,SBQQ__Quantity__c) 
, 
'SKU100305', IF(TEXT(SBQQ__Quote__r.SBQQ__Type__c) = 'Amendment', (SBQQ__Quantity__c - SBQQ__Quote__r.Contract_Seats__c ) ,SBQQ__Quantity__c), 
SBQQ__Quantity__c)**/","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","03/01/2017T02:33:52.000Z","Adjusted_Quantity__c","Quote Line","","Populate Adjusted Quantity",""
"a1N0J00000PCjDFUA1","142","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","SBQQ__Quantity__c","Quote Line","","Amendment: Transfer Seat Counts to Subsequent Years","First Year Seats Count"
"a1N0J00000PCjDGUA1","143","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","Seats__c","Quote Line","TRUE","Populate Seats Checkbox",""
"a1N0J00000PCjDHUA1","144","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","CASE(SBQQ__SegmentIndex__c,
1,  SBQQ__Quote__r.Today__c , 
2,  SBQQ__Quote__r.Segment_2_Start_Date__c,
3, SBQQ__Quote__r.Segment_3_Start_Date__c,
null)","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/28/2017T02:32:52.000Z","SBQQ__StartDate__c","Quote Line","","Amendment: Populate Segment Dates",""
"a1N0J00000PCjDIUA1","145","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","false","Emerging_Market_Price__c","true","","Emerging_Market_Discount_Factor__c","02/21/2017T09:35:53.000Z","Other_Discount__c","Quote Line","","EDUCPQ Phase1  b. Emerging Markets Disc based on ShipToContactCountry",""
"a1N0J00000PCjDJUA1","146","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","IF(SBQQ__Quantity__c > 21, 10, 0)","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","false","Emerging_Market_Price__c","true","","","02/21/2017T09:35:53.000Z","Volume_Discount__c","Quote Line","","EDUCPQ Phase1  a. Volume Disc >=21 seats is a 10% disc",""
"a1N0J00000PCjDKUA1","147","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","Final_Unit_Price_Number__c / Prorate_Multiplier_Copy__c","0050J000006WjRgQAK","02/28/2017T14:00:33.000Z","5.0","true","","true","","","03/01/2017T02:33:52.000Z","SBQQ__NetPrice__c","Quote Line","","Insert Final Unit Price into Special Price and Net Price",""
"a1N0J00000PCjDLUA1","148","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","false","","true","","","02/27/2017T02:31:14.000Z","Payment_Method__c","Quote","Invoice","Set Payment Method to Invoice - IGNORE",""
"a1N0J00000PCjDMUA1","149","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","Volume_Discount__c","Quote Line","","Normalize Seats Volume Discounts Across Years","First Year Seats Volume Discount"
"a1N0J00000PCjDNUA1","150","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","TODAY()","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","SBQQ__StartDate__c","Quote","","Default Start Dates to TODAY on Amendments",""
"a1N0J00000PCjDOUA1","151","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","IF(Seats__c = true && SBQQ__Quantity__c != 0 , 
IF(ISPICKVAL(SBQQ__Quote__r.Allow_Seat_Reduction__c,""Yes""),0.0, 
IF(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c / 12 <1,0.0, 
IF(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c / 12 =1,0.0, 
IF(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c / 12 =2,0.05, 
IF(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c / 12 >=3,0.1, 
0.1 
) 
) 
) 
) 
), 
0 
)","0050J000006WjRgQAK","02/28/2017T09:29:27.000Z","","false","","true","","","03/01/2017T02:33:52.000Z","Commitment_Discount_Percent__c","Quote Line","","Populate Commitment Discount % Original Quote",""
"a1N0J00000PCjDPUA1","152","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","/** FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100 **/ 

/** because of rounding, lines that end in .33 have to be fitted down to the total by 1 cent 
and lines that are 66 have to be fitted up by one cent **/ 
IF(RIGHT(TEXT(FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100), 2) = '33' , (FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100)- 0.01, 
IF(RIGHT(TEXT(FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100), 2) = '66', (FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100)+ 0.01, 
(FLOOR(10000*(Commitment_Amount__c * Other_Discount__c)/100)/100)))","0050J000006WjRgQAK","03/03/2017T13:26:39.000Z","","true","","true","","","03/04/2017T02:36:46.000Z","Other_Discount_Amount__c","Quote Line","","Populate Other Discount Amount",""
"a1N0J00000PCjDQUA1","153","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","SBQQ__Quote__r.SBQQ__SubscriptionTerm__c","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","SBQQ__DefaultSubscriptionTerm__c","Quote Line","","Populate Default Subscription Term on Bundle",""
"a1N0J00000PCjDRUA1","154","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","USD","false","","0050J000006WjRgQAK","02/21/2017T09:35:53.000Z","","true","","true","","","02/21/2017T09:35:53.000Z","SBQQ__ListPrice__c","Quote Line","0","Make Bundled Products List Price 0",""
"a1N0J00000PD1pZUAT","164","0050J000006WjRgQAK","02/27/2017T09:49:05.000Z","USD","false","IF(SBQQ__ProrateMultiplier__c = null, 1, SBQQ__ProrateMultiplier__c)","0050J000006WjRgQAK","02/27/2017T09:49:05.000Z","","true","","true","","","02/28/2017T02:32:52.000Z","Prorate_Multiplier_Copy__c","Quote Line","","Prorate Multiplier Copy",""
"a1N0J00000PCTstUAH","101","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/22/2017T02:34:28.000Z","Approval_Needed_FLM__c","Quote Line","TRUE","Conversion Discount FLM Approval",""
"a1N0J00000PCTsuUAH","102","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_Regional_VP__c","Quote Line","TRUE","Conversion Discount RVP Approval",""
"a1N0J00000PCTsvUAH","103","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_CFO__c","Quote Line","true","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 30%",""
"a1N0J00000PCTswUAH","104","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_Regional_VP__c","Quote Line","true","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 30%",""
"a1N0J00000PCTsxUAH","105","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_CRO__c","Quote Line","true","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 30%",""
"a1N0J00000PCTsyUAH","106","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_FLM__c","Quote Line","TRUE","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 30%",""
"a1N0J00000PCTszUAH","107","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_CFO__c","Quote Line","TRUE","Conversion Discount CFO CRO Approval",""
"a1N0J00000PCTt0UAH","108","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_CRO__c","Quote Line","TRUE","Conversion Discount CFO CRO Approval",""
"a1N0J00000PCTt1UAH","109","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_FLM__c","Quote Line","TRUE","Conversion Discount CFO CRO Approval",""
"a1N0J00000PCTt2UAH","110","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_Regional_VP__c","Quote Line","true","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 20 & <= 30",""
"a1N0J00000PCTt3UAH","111","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_FLM__c","Quote Line","TRUE","Volume Discount Approval Qty > 100 &  RVP CRO CFO Discount > 20 & <= 30",""
"a1N0J00000PCTt4UAH","112","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_FLM__c","Quote Line","TRUE","Uplift Present Approval",""
"a1N0J00000PCTt5UAH","113","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_Regional_VP__c","Quote Line","TRUE","Uplift Present Approval",""
"a1N0J00000PCTt6UAH","114","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","USD","false","","0050J000006WjRgQAK","02/15/2017T08:13:49.000Z","","true","","true","","","02/15/2017T08:13:49.000Z","Approval_Needed_CFO__c","Quote Line","true","Other Discount Approval",""
