Record ID,Active,Advanced Condition,Conditions Met,Created By ID,Created Date,Currency ISO Code,Deleted,Evaluation Event,Evaluation Order,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Message,New,Owner ID,Product Rule Name,Scope,System Modstamp,Type
"a1W0J000004CLuKUAW","true","","All","00520000002CI2kAAG","11/08/2016T00:04:43.000Z","USD","false","Always","5.0","00520000002CI2kAAG","11/08/2016T00:29:05.000Z","11/25/2016T12:56:38.000Z","11/25/2016T12:56:38.000Z","","false","00520000002CI2kAAG","Enterprise","Product","12/08/2016T02:33:22.000Z","Selection"
"a1W0J000004CM8bUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","Always","1.0","0050J000006WjRgQAK","03/01/2017T07:59:48.000Z","03/06/2017T10:29:32.000Z","03/06/2017T10:29:32.000Z","You've Selected Plus Seats that have already been added to this Account. You may only add seats through the Amend button on the current Active Contract.","true","0050J000006WjRgQAK","Existing Plus Seats Cannot be Added to New Business Quote","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8cUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","EUR","false","Always","","0050J000006WjRgQAK","03/01/2017T08:03:53.000Z","03/02/2017T08:22:06.000Z","03/02/2017T08:22:06.000Z","One Unity Student Plus (Bundle) Allowed.  Remove One","true","0050J000006WjRgQAK","Only One Unity Student Plus Bundle","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8dUAG","false","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","","","0050J000006WjRgQAK","02/22/2017T16:41:53.000Z","03/02/2017T08:38:37.000Z","03/02/2017T08:38:37.000Z","Applying Uplift on Seats is Not Allowed","true","0050J000006WjRgQAK","No Uplift on Seats","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8eUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","","","0050J000006WjRgQAK","03/02/2017T08:18:08.000Z","03/02/2017T08:36:22.000Z","03/02/2017T08:36:22.000Z","Increasing Uplift % on Add-Seats Quote Not Allowed","true","0050J000006WjRgQAK","Increasing Uplift % on Amendment Not Allowed","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8fUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","","","0050J000006WjRgQAK","03/02/2017T08:18:31.000Z","03/02/2017T08:29:35.000Z","03/02/2017T08:29:35.000Z","Increasing Other Discount on Add-Seats Quote Not Allowed","true","0050J000006WjRgQAK","Increasing Other Discounts on Amendment Not Allowed","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8gUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","","","0050J000006WjRgQAK","03/02/2017T08:18:51.000Z","03/02/2017T08:19:35.000Z","03/02/2017T08:19:35.000Z","Increasing Conversion Discount % on Add-Seats Quote Not Allowed","true","0050J000006WjRgQAK","Increasing Conversion Discount % on Amendment Not Allowed","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM8iUAG","true","","All","0050J000006WjRgQAK","02/21/2017T08:48:31.000Z","USD","false","","","0050J000006WjRgQAK","03/02/2017T08:19:54.000Z","03/02/2017T08:38:31.000Z","03/02/2017T08:38:31.000Z","Increasing Volume Discount on Add-Seats Quote Not Allowed","true","0050J000006WjRgQAK","Increasing Volume Discounts on Amendment Not Allowed","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CM9mUAG","true","","All","0050J000006WjRgQAK","03/02/2017T08:12:24.000Z","USD","false","Always","1.0","0050J000006WjRgQAK","03/02/2017T08:15:35.000Z","03/02/2017T11:55:06.000Z","03/02/2017T11:55:06.000Z","You've Selected Pro Seats that have already been added to this Account. You may only add seats through the Amend button on the current Active Contract.","false","0050J000006WjRgQAK","Existing Pro Seats Cannot be Added to New Business Quote","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CLwGUAW","true","","All","00520000002CI2kAAG","11/17/2016T21:32:03.000Z","USD","false","Always","1.0","00520000002CI2kAAG","12/05/2016T19:47:49.000Z","","","Included Reviews:: Min = 1 & Max = 2 (Correct Quanity Set on Configuration Save.)","false","00520000002CI2kAAG","Included Reviews: Min = 1 Max =2","Quote","12/06/2016T02:33:04.000Z","Validation"
"a1W0J000004CLuPUAW","true","","All","00520000002CI2kAAG","11/08/2016T00:28:43.000Z","USD","false","Always","6.0","00520000002CI2kAAG","11/08/2016T00:29:20.000Z","11/22/2016T06:10:28.000Z","11/22/2016T06:10:28.000Z","","false","00520000002CI2kAAG","Enterprise Plus Studios","Product","11/25/2016T02:34:25.000Z","Selection"
"a1W0J000004CLxxUAG","true","","All","00520000002CI2kAAG","12/01/2016T19:20:57.000Z","USD","false","Always","","0050J000006WjRgQAK","02/22/2017T16:49:41.000Z","02/22/2017T16:49:41.000Z","02/22/2017T16:49:41.000Z","The Opportunity Is Expiring (Closed Date) In 1 Day Or Less.  Adjust the Opportunity Before Attempting to Edit This Quote","false","00520000002CI2kAAG","Opportunity Close Date","Quote","02/23/2017T02:34:04.000Z","Validation"
"a1W0J000004CM9NUAW","true","","All","0050J000006WjRgQAK","02/28/2017T12:41:41.000Z","USD","false","","","0050J000006WjRgQAK","02/28/2017T12:42:36.000Z","03/02/2017T08:15:56.000Z","03/02/2017T08:15:56.000Z","Reducing Quantity of Seats is Not Allowed","false","0050J000006WjRgQAK","Reducing Seat Count Not Allowed","Quote","03/03/2017T02:34:22.000Z","Validation"
"a1W0J000004CLwpUAG","true","","All","00520000002CI2kAAG","11/21/2016T18:27:52.000Z","USD","false","Always","","0050J000006WjRgQAK","02/21/2017T08:41:07.000Z","02/21/2017T08:42:23.000Z","02/21/2017T08:42:23.000Z","Allow Seat Reduction: 
Yes or No","false","00520000002CI2kAAG","Allow Seat Reduction","Quote","02/22/2017T02:34:28.000Z","Validation"
"a1W0J000004CLy2UAG","true","","Any","00520000002CI2kAAG","12/01/2016T20:14:09.000Z","USD","false","Always","","00520000002CI2kAAG","12/02/2016T00:02:43.000Z","","","The Quote Is Expiring (Expiration Date) In 1 Day Or Less.  Adjust the Expiration Date Before Saving","false","00520000002CI2kAAG","Quote Expiration Date","Quote","12/03/2016T02:34:04.000Z","Validation"
"a1W0J000004CLtgUAG","true","","All","00520000002CI2kAAG","11/07/2016T00:11:07.000Z","USD","false","Always","2.0","00520000002CI2kAAG","11/08/2016T00:04:25.000Z","11/25/2016T12:41:21.000Z","11/25/2016T12:41:21.000Z","","false","00520000002CI2kAAG","Studio Starter","Product","11/26/2016T02:33:31.000Z","Selection"
"a1W0J000004CLuFUAW","true","","All","00520000002CI2kAAG","11/07/2016T19:47:04.000Z","USD","false","Always","1.0","00520000002CI2kAAG","11/25/2016T17:57:47.000Z","","","","false","00520000002CI2kAAG","Support Level = None","Product","11/26/2016T02:33:31.000Z","Selection"
"a1W0J000004CLu5UAG","true","","All","00520000002CI2kAAG","11/07/2016T19:14:38.000Z","USD","false","Always","3.0","00520000002CI2kAAG","11/08/2016T00:04:08.000Z","11/24/2016T09:40:18.000Z","11/24/2016T09:40:18.000Z","","false","00520000002CI2kAAG","Studio","Product","11/25/2016T02:34:25.000Z","Selection"
"a1W0J000004CLx9UAG","true","","All","00520000002CI2kAAG","11/24/2016T02:59:45.000Z","USD","false","Always","","00520000002CI2kAAG","11/24/2016T03:15:01.000Z","03/01/2017T07:59:07.000Z","03/01/2017T07:59:07.000Z","One Pro (Bundle) Allowed.  Remove One","false","00520000002CI2kAAG","Only One Pro Bundle","Quote","03/02/2017T02:33:43.000Z","Validation"
"a1W20000004IYBKEA4","true","","All","00520000002CI2kAAG","11/05/2016T21:32:45.000Z","USD","false","Always","4.0","00520000002CI2kAAG","11/08/2016T00:03:50.000Z","","","","false","00520000002CI2kAAG","Enterprise Starter","Product","11/09/2016T02:32:59.000Z","Selection"
